,File Name,wl_x1_Ti,wl_x2_Ti
0,SN2011fe_2011-08-25_00-00-00_TNG_DOLORES_PTF_-16.00d.ascii,3882.2329696873308,4487.895281266442
1,SN2011fe_2011-08-25_03-55-33_Lick-3m_KAST_PTF_-15.84d.ascii,3863.9957667583644,4460.717091522931
2,SN2011fe_2011-08-26_00-00-00_UH88_SNIFS_None_-15.00d.dat,3885.045655500639,4488.8363159064465
3,SN2011fe_2011-08-26_06-14-21_UH88_SNIFS_PTF_-14.74d.ascii,3888.4762842529444,4488.8363159064465
4,SN2011fe_2011-08-26_06-19-44_UH88_SNIFS_SNfactory_-14.74d.dat,3890.358240684167,4494.992759692175
5,SN2011fe_2011-08-27_05-55-38_UH88_SNIFS_SNfactory_-13.75d.dat,3904.0999342979853,4498.42818309563
6,SN2011fe_2011-08-28_00-00-00_P200_DBSP_PTF-Ia_-13.00d.ascii,3890.5037688408197,4500.895312426874
7,SN2011fe_2011-08-28_04-05-00_HST_STIS_HST-Ia_-12.83d.dat,3923.3870967741937,4500.0
8,SN2011fe_2011-08-28_05-26-52_Keck1_LRIS_PTF-12.77d.ascii,3905.662387762819,4495.783011426554
9,SN2011fe_2011-08-28_05-56-36_UH88_SNIFS_SNfactory_-12.75d.dat,3917.8416279118037,4494.992759692175
10,SN2011fe_2011-08-28_06-33-07_Keck1_LRIS_PTF_-12.73d.ascii,3925.7309300741563,4501.3631620822025
11,SN2011fe_2011-08-29_00-00-00_Gemini-N_GMOS_None_-12.00d.dat,3924.398855900501,4494.0129829165735
12,SN2011fe_2011-08-29_00-00-00_Gemini-N_GMOS_PTF_-12.00d.ascii,3930.458580655991,4494.0129829165735
13,SN2011fe_2011-08-29_06-07-31_UH88_SNIFS_SNfactory_-11.74d.dat,3924.712474718713,4488.121912885266
14,SN2011fe_2011-08-30_00-00-00_WHT-4.2m_ISIS_None_-11.00d.dat,3918.995781178223,4506.432247428713
15,SN2011fe_2011-08-30_00-00-00_WHT-4.2m_ISIS_PTF_-11.00d.ascii,3925.0518272220424,4506.432247428713
16,SN2011fe_2011-08-30_05-56-16_UH88_SNIFS_SNfactory_-10.75d.dat,3931.583321525622,4488.121912885266
17,SN2011fe_2011-08-31_00-00-00_Keck1_LRIS_None_-10.00d.dat,3921.428703580386,4500.078267717916
18,SN2011fe_2011-08-31_00-00-00_Keck1_LRIS_PTF_-10.00d.ascii,3917.4923119876134,4492.205484532371
19,SN2011fe_2011-08-31_00-00-00_WHT-4.2m_ISIS_None_-10.00d.dat,3928.6767068309346,4494.601723279
20,SN2011fe_2011-08-31_00-00-00_WHT-4.2m_ISIS_PTF_-10.00d.ascii,3922.624032858228,4500.654397251707
21,SN2011fe_2011-08-31_05-51-13_UH88_SNIFS_SNfactory_-09.76d.dat,3917.8416279118037,4477.815642674902
22,SN2011fe_2011-08-31_06-00-00_HST_STIS_HST-Ia_-09.75d.dat,3935.4838709677424,4487.903225806452
23,SN2011fe_2011-09-01_00-00-00_Gemini-N_GMOS_None_-09.00d.dat,3918.339131145011,4487.953258161084
24,SN2011fe_2011-09-01_00-00-00_Gemini-N_GMOS_PTF_-09.00d.ascii,3921.3689935227558,4487.953258161084
25,SN2011fe_2011-09-01_00-00-00_WHT-4.2m_ISIS_None_-09.00d.dat,3922.5979344945376,4476.431018729087
26,SN2011fe_2011-09-01_00-00-00_WHT-4.2m_ISIS_PTF_-09.00d.ascii,3925.624344790901,4488.536659914542
27,SN2011fe_2011-09-01_05-57-27_UH88_SNIFS_SNfactory_-08.75d.dat,3924.712474718713,4474.3802192714475
28,SN2011fe_2011-09-02_05-46-15_UH88_SNIFS_SNfactory_-07.76d.dat,3917.8416279118037,4474.3802192714475
29,SN2011fe_2011-09-03_00-00-00_P200_DBSP_PTF-Ia_-07.00d.ascii,3941.101475381535,4490.555117878774
30,SN2011fe_2011-09-03_06-12-44_UH88_SNIFS_SNfactory_-06.74d.dat,3931.583321525622,4498.42818309563
31,SN2011fe_2011-09-03_09-07-00_HST_STIS_HST-Ia_-06.62d.dat,3935.4838709677424,4508.064516129032
32,SN2011fe_2011-09-04_05-44-31_UH88_SNIFS_SNfactory_-05.76d.dat,3931.583321525622,4488.121912885266
33,SN_2011fe_2011-08-25_03-54-43_Lick-3m_KAST_UCB-SNDB_-15.84d.flm,3863.9957667583644,4470.290160904181
34,SN_2011fe_2011-08-28_06-33-07_Keck1_LRIS_UCB-SNDB_-12.73d.flm,3918.3980353988945,4497.696714744572
